de rit; ride, drive
het avontuur; adventure
het uilskuiken; idiot
de bestuurder(s); manager, driver
het beest; animal, beast
de sfeer; atmosphere, mood
de geur; smell, aroma
de kenner; expert, specialist
de vlooien; fleas, creeps
de vacht; fur
het geheim; secret
de kist; case, box
de vaas; vase
de hemel; heaven, sky
de gek; insane, mad, lunatic
de vondst; invention, finding, discovery
de waarde; price, value, worth
het geloof; belief, faith, trust, credit
het bewijs; evidence, proof
het inladen; shipment, loading
